"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PRMT2",0.925945938290165,0.213229755326444,0.206,0.219,1
"HSPA8",0.92615448192435,0.185558827672278,0.148,0.156,1
"SETX",0.93459335040949,0.1848891494877,0.144,0.153,1
"XAF1",0.935581492680644,0.190542120704977,0.175,0.189,1
"CAVIN1",0.938282629430738,0.340420338069577,0.175,0.189,1
"EIF5",0.939029306323597,0.178117144588388,0.144,0.147,1
"MBNL2",0.941327795287361,0.282272446099882,0.187,0.2,1
"FGD5-AS1",0.943795025496101,0.192302619290062,0.105,0.106,1
"KMT2C",0.94380657658798,0.364649558510467,0.187,0.206,1
"IQGAP1",0.944685659128043,0.265363994222951,0.195,0.206,1
"PDE3A",0.948243774481339,0.325290750339159,0.101,0.108,1
"ISCU",0.952692382288454,0.266529297331841,0.121,0.122,1
"YWHAZ",0.954639675054383,0.164138520356404,0.191,0.194,1
"AC245297.3",0.955309958430552,0.185654857455294,0.109,0.111,1
"CLIP1",0.9574358977773,0.263697545806761,0.105,0.108,1
"KIF5B",0.958008594517047,0.235965074278482,0.152,0.158,1
"CNOT4",0.96226905641631,0.12096205158678,0.109,0.114,1
"SLMAP",0.962360554692124,0.290838745095739,0.109,0.111,1
"HMGN1",0.963057895296126,0.357535585148635,0.101,0.106,1
"COL1A1",0.966244372282323,0.295018573333256,0.148,0.153,1
"HSPA1A",0.967081614499796,-0.18799615144973,0.105,0.106,1
"SUB1",0.967703672439119,0.219979119206946,0.14,0.147,1
"TMEM59",0.967837009339192,0.2127921785274,0.156,0.161,1
"TRA2A",0.96933217931927,0.140577968354914,0.113,0.117,1
"SPTBN1",0.971036556700917,0.228338092453645,0.377,0.428,1
"SCAF11",0.971436080866714,0.290434320667625,0.311,0.347,1
"HMGB1",0.97322694129533,0.203719908620403,0.346,0.389,1
"OCIAD1",0.973432155394711,0.1787192585257,0.121,0.125,1
"SLC12A2",0.976141339716349,0.386143227329335,0.148,0.158,1
"NEDD8",0.978438069764272,0.235298147990487,0.101,0.103,1
"ATP5MC2",0.979822921639608,0.173713879128062,0.183,0.189,1
"DLG1",0.979902331978224,0.121128930682573,0.105,0.108,1
"SON",0.980309527343327,0.115633164843778,0.432,0.483,1
"SH3BGRL3",0.980583470279283,0.205195756382163,0.105,0.108,1
"PHF14",0.9837049842261,0.260940466081399,0.148,0.158,1
"MTDH",0.983914486083486,0.255163129874125,0.136,0.142,1
"ITM2C",0.984827082279708,0.127921667502551,0.097,0.1,1
"HNRNPC",0.989112634500865,0.207696234007194,0.167,0.172,1
"KPNB1",0.989959220449541,0.267549981224735,0.117,0.122,1
"VCL",0.991659404001224,0.146823304261362,0.183,0.189,1
"SKIL",0.992164612437838,0.116827606078225,0.105,0.108,1
"MRPS21",0.995712065238457,0.24478280888132,0.113,0.117,1
"DST",0.995984117698538,0.127345679597906,0.521,0.583,1
"DPYSL2",0.996425796199004,0.225698053991276,0.245,0.264,1
"CENPC",0.996918274848317,0.477425501367089,0.128,0.139,1
"ORMDL1",0.997268318014151,0.136994734699873,0.136,0.142,1
"CAND1",0.998663893825459,0.228081014760873,0.109,0.114,1
